time,device_id,bus_voltage_V,current_mA,electrode_V,soil_humidity_V,target_current_mA
2026-05-16 17:43:09.529754+00:00,001,2.26,25.11,1.599,0.781,25.0
2026-05-16 17:43:11.580567+00:00,001,2.16,22.13,1.62,0.789,25.0
2026-05-16 17:43:41.599494+00:00,001,2.21,23.41,1.632,0.784,25.0
2026-05-16 17:44:11.610775+00:00,001,2.2,22.77,1.582,0.783,25.0
2026-05-16 17:44:41.627678+00:00,001,2.17,21.7,1.632,0.784,25.0
2026-05-16 17:45:11.708934+00:00,001,2.33,27.88,1.571,0.785,25.0
2026-05-16 17:45:41.654324+00:00,001,2.31,27.03,1.635,0.785,25.0
2026-05-16 17:46:11.664170+00:00,001,2.31,27.03,1.618,0.785,25.0
2026-05-16 17:46:41.675213+00:00,001,2.24,25.32,1.613,0.786,25.0
2026-05-16 17:47:11.676864+00:00,001,2.28,26.6,1.625,0.783,25.0
2026-05-16 17:47:41.677028+00:00,001,2.18,22.55,1.609,0.786,25.0
2026-05-16 17:48:11.690514+00:00,001,2.2,23.41,1.621,0.785,25.0
2026-05-16 17:48:41.693644+00:00,001,2.19,23.83,1.625,0.786,25.0
2026-05-16 17:49:11.703226+00:00,001,2.25,24.9,1.632,0.789,25.0
2026-05-16 17:49:41.711637+00:00,001,2.15,21.7,1.582,0.782,25.0
2026-05-16 17:50:11.729987+00:00,001,2.28,26.17,1.617,0.787,25.0
2026-05-16 17:50:41.723264+00:00,001,2.24,25.54,1.619,0.785,25.0
2026-05-16 17:51:11.733832+00:00,001,2.21,24.9,1.624,0.787,25.0
2026-05-16 17:51:41.740408+00:00,001,2.22,24.68,1.616,0.782,25.0
2026-05-16 17:52:11.754324+00:00,001,2.28,26.6,1.556,0.784,25.0
2026-05-16 17:52:41.758754+00:00,001,2.25,24.9,1.633,0.785,25.0
2026-05-16 17:53:11.774884+00:00,001,2.23,24.68,1.632,0.785,25.0
2026-05-16 17:53:41.789093+00:00,001,2.28,26.17,1.61,0.787,25.0
2026-05-16 17:54:11.785694+00:00,001,2.28,26.6,1.583,0.782,25.0
2026-05-16 17:54:41.798058+00:00,001,2.28,26.17,1.619,0.785,25.0
2026-05-16 17:55:11.816556+00:00,001,2.2,23.83,1.626,0.787,25.0
2026-05-16 17:55:41.820575+00:00,001,2.28,26.17,1.639,0.784,25.0
2026-05-16 17:56:11.822832+00:00,001,2.28,25.75,1.626,0.785,25.0
2026-05-16 17:56:27.473628+00:00,001,2.28,25.75,1.626,0.785,25.0
2026-05-16 17:56:41.832925+00:00,001,2.34,27.88,1.602,0.784,25.0
2026-05-16 17:56:41.833529+00:00,001,2.34,27.88,1.602,0.784,25.0
2026-05-16 17:57:11.845918+00:00,001,2.28,26.17,1.604,0.786,25.0
2026-05-16 17:57:41.847833+00:00,001,2.16,22.34,1.606,0.783,25.0
2026-05-16 17:58:11.863604+00:00,001,2.27,25.75,1.58,0.782,25.0
2026-05-16 17:58:41.880907+00:00,001,2.28,26.6,1.598,0.784,25.0
2026-05-16 17:59:11.897989+00:00,001,2.18,23.62,1.614,0.788,25.0
2026-05-16 17:59:41.902092+00:00,001,2.14,21.49,1.573,0.784,25.0
2026-05-16 18:00:11.904827+00:00,001,2.28,26.17,1.62,0.788,25.0
2026-05-16 18:00:41.914358+00:00,001,2.22,24.47,1.625,0.786,25.0
2026-05-16 18:01:11.914982+00:00,001,2.29,26.81,1.623,0.785,25.0
2026-05-16 18:01:41.934942+00:00,001,2.21,24.26,1.643,0.784,25.0
2026-05-16 18:02:11.957245+00:00,001,2.28,25.96,1.604,0.787,25.0
2026-05-16 18:02:41.953215+00:00,001,2.25,25.11,1.618,0.785,25.0
2026-05-16 18:03:11.954146+00:00,001,2.17,22.34,1.604,0.785,25.0
2026-05-16 18:03:41.976346+00:00,001,2.28,25.75,1.605,0.783,25.0
2026-05-16 18:04:11.981951+00:00,001,2.17,22.34,1.572,0.782,25.0
2026-05-16 18:04:41.989379+00:00,001,2.28,26.39,1.612,0.784,25.0
2026-05-16 18:05:12.009560+00:00,001,2.28,26.39,1.623,0.784,25.0
2026-05-16 18:05:42.022282+00:00,001,2.28,25.96,1.593,0.787,25.0
2026-05-16 18:06:12.058083+00:00,001,2.25,24.9,1.574,0.782,25.0
2026-05-16 18:06:42.046293+00:00,001,2.18,22.98,1.603,0.784,25.0
2026-05-16 18:07:12.054034+00:00,001,2.28,26.17,1.642,0.786,25.0
2026-05-16 18:07:42.062195+00:00,001,2.25,24.9,1.592,0.784,25.0
2026-05-16 18:08:12.071849+00:00,001,2.28,26.17,1.621,0.786,25.0
2026-05-16 18:08:42.091323+00:00,001,2.28,25.75,1.573,0.781,25.0
2026-05-16 18:09:12.094312+00:00,001,2.28,26.17,1.615,0.784,25.0
2026-05-16 18:09:42.114493+00:00,001,2.28,26.39,1.617,0.784,25.0
2026-05-16 18:10:12.123312+00:00,001,2.21,24.68,1.628,0.785,25.0
2026-05-16 18:10:42.156404+00:00,001,2.34,28.09,1.639,0.789,25.0
2026-05-16 18:11:12.145073+00:00,001,2.2,22.98,1.646,0.787,25.0
2026-05-16 18:11:42.163096+00:00,001,2.28,26.6,1.578,0.784,25.0
2026-05-16 18:12:12.159484+00:00,001,2.28,25.96,1.617,0.784,25.0
2026-05-16 18:12:42.176128+00:00,001,2.28,26.6,1.624,0.782,25.0
2026-05-16 18:13:12.175392+00:00,001,2.28,25.96,1.592,0.784,25.0
2026-05-16 18:13:42.192310+00:00,001,2.28,25.96,1.584,0.784,25.0
2026-05-16 18:14:12.212636+00:00,001,2.17,22.55,1.639,0.782,25.0
2026-05-16 18:14:42.220573+00:00,001,2.17,22.34,1.575,0.782,25.0
2026-05-16 18:15:12.227510+00:00,001,2.28,26.17,1.588,0.783,25.0
2026-05-16 18:15:42.232899+00:00,001,2.21,24.04,1.59,0.785,25.0
2026-05-16 18:16:12.233494+00:00,001,2.28,25.96,1.588,0.78,25.0
2026-05-16 18:16:42.250695+00:00,001,2.14,21.49,1.566,0.782,25.0
2026-05-16 18:17:12.254216+00:00,001,2.28,26.39,1.62,0.784,25.0
2026-05-16 18:17:42.270284+00:00,001,2.28,26.6,1.63,0.782,25.0
2026-05-16 18:18:12.284337+00:00,001,2.28,25.96,1.572,0.781,25.0
2026-05-16 18:18:42.304303+00:00,001,2.21,24.68,1.646,0.784,25.0
2026-05-16 18:19:12.311724+00:00,001,2.16,22.13,1.605,0.785,25.0
2026-05-16 18:19:42.331907+00:00,001,2.16,21.91,1.615,0.784,25.0
2026-05-16 18:20:12.341092+00:00,001,2.18,23.83,1.607,0.783,25.0
2026-05-16 18:20:42.344819+00:00,001,2.28,26.17,1.621,0.785,25.0
2026-05-16 18:21:12.346269+00:00,001,2.17,22.13,1.601,0.783,25.0
2026-05-16 18:21:42.356740+00:00,001,2.28,26.17,1.618,0.784,25.0
2026-05-16 18:22:12.364654+00:00,001,2.28,26.6,1.644,0.784,25.0
2026-05-16 18:22:42.382861+00:00,001,2.28,25.96,1.633,0.785,25.0
2026-05-16 18:23:12.393371+00:00,001,2.28,25.75,1.637,0.782,25.0
2026-05-16 18:23:42.411376+00:00,001,2.28,25.96,1.629,0.781,25.0
2026-05-16 18:24:12.426585+00:00,001,2.28,25.75,1.597,0.783,25.0
2026-05-16 18:24:42.439297+00:00,001,2.18,22.77,1.59,0.781,25.0
2026-05-16 18:25:12.435182+00:00,001,2.28,25.75,1.627,0.784,25.0
2026-05-16 18:25:42.439182+00:00,001,2.16,22.13,1.641,0.783,25.0
2026-05-16 18:26:12.453914+00:00,001,2.14,21.27,1.606,0.783,25.0
2026-05-16 18:26:42.463165+00:00,001,2.23,25.32,1.653,0.781,25.0
2026-05-16 18:27:12.481938+00:00,001,2.21,24.47,1.609,0.783,25.0
2026-05-16 18:27:42.496353+00:00,001,2.28,25.96,1.589,0.781,25.0
2026-05-16 18:28:12.514251+00:00,001,2.28,25.75,1.614,0.781,25.0
2026-05-16 18:28:42.545570+00:00,001,2.28,25.75,1.616,0.783,25.0
2026-05-16 18:29:12.527694+00:00,001,2.14,21.7,1.625,0.783,25.0
2026-05-16 18:29:42.540097+00:00,001,2.23,24.04,1.587,0.781,25.0
2026-05-16 18:30:12.547987+00:00,001,2.28,26.17,1.622,0.782,25.0
2026-05-16 18:30:42.562195+00:00,001,2.24,25.11,1.624,0.784,25.0
2026-05-16 18:31:12.569552+00:00,001,2.28,25.96,1.633,0.783,25.0
2026-05-16 18:31:42.589049+00:00,001,2.28,25.96,1.611,0.784,25.0
2026-05-16 18:32:12.603323+00:00,001,2.28,26.17,1.595,0.78,25.0
2026-05-16 18:32:42.608587+00:00,001,2.16,22.77,1.625,0.783,25.0
2026-05-16 18:33:12.622119+00:00,001,2.28,25.96,1.629,0.784,25.0
2026-05-16 18:33:42.628138+00:00,001,2.28,25.96,1.602,0.783,25.0
2026-05-16 18:34:12.650337+00:00,001,2.23,24.04,1.627,0.781,25.0
2026-05-16 18:34:42.664152+00:00,001,2.19,24.04,1.613,0.782,25.0
2026-05-16 18:35:12.679628+00:00,001,2.28,26.39,1.612,0.783,25.0
2026-05-16 18:35:42.685663+00:00,001,2.22,24.04,1.634,0.781,25.0
2026-05-16 18:36:12.809937+00:00,001,2.28,25.96,1.62,0.781,25.0
2026-05-16 18:36:42.822562+00:00,001,2.18,23.62,1.617,0.782,25.0
2026-05-16 18:37:13.006669+00:00,001,2.28,26.39,1.595,0.778,25.0
2026-05-16 18:37:42.771257+00:00,001,2.28,25.96,1.638,0.782,25.0
2026-05-16 18:38:12.781213+00:00,001,2.19,23.83,1.6,0.781,25.0
2026-05-16 18:38:43.004378+00:00,001,2.27,25.75,1.599,0.785,25.0
2026-05-16 18:39:12.861220+00:00,001,2.27,26.17,1.604,0.782,25.0
2026-05-16 18:39:42.864641+00:00,001,2.13,21.91,1.633,0.781,25.0
2026-05-16 18:40:13.309376+00:00,001,2.28,25.96,1.621,0.783,25.0
2026-05-16 18:40:42.813970+00:00,001,2.28,26.17,1.625,0.784,25.0
2026-05-16 18:41:12.822077+00:00,001,2.15,21.7,1.616,0.782,25.0
2026-05-16 18:41:42.839177+00:00,001,2.27,25.75,1.613,0.781,25.0
2026-05-16 18:42:12.858795+00:00,001,2.21,23.62,1.59,0.782,25.0
2026-05-16 18:42:43.116557+00:00,001,2.32,27.88,1.616,0.777,25.0
2026-05-16 18:43:12.887726+00:00,001,2.28,26.17,1.63,0.777,25.0
2026-05-16 18:43:42.916459+00:00,001,2.22,24.26,1.572,0.78,25.0
2026-05-16 18:44:16.359293+00:00,001,2.26,25.75,1.618,0.784,25.0
2026-05-16 18:44:43.193852+00:00,001,2.24,24.68,1.614,0.785,25.0
2026-05-16 18:45:12.970487+00:00,001,2.19,22.98,1.57,0.778,25.0
2026-05-16 18:45:43.358246+00:00,001,2.22,24.47,1.56,0.78,25.0
2026-05-16 18:46:13.241967+00:00,001,2.23,24.68,1.589,0.784,25.0
2026-05-16 18:46:42.988504+00:00,001,2.27,25.75,1.628,0.781,25.0
2026-05-16 18:47:13.006449+00:00,001,2.2,24.26,1.63,0.781,25.0
2026-05-16 18:47:43.004173+00:00,001,2.27,26.17,1.625,0.785,25.0
2026-05-16 18:48:13.012284+00:00,001,2.28,25.96,1.597,0.78,25.0
2026-05-16 18:48:43.029879+00:00,001,2.27,25.75,1.584,0.781,25.0
2026-05-16 18:49:13.039536+00:00,001,2.27,25.75,1.615,0.783,25.0
2026-05-16 18:49:43.044176+00:00,001,2.27,25.75,1.608,0.782,25.0
2026-05-16 18:50:13.067215+00:00,001,2.23,24.26,1.611,0.783,25.0
2026-05-16 18:50:43.068621+00:00,001,2.28,25.96,1.577,0.78,25.0
2026-05-16 18:51:13.070751+00:00,001,2.2,22.98,1.601,0.781,25.0
2026-05-16 18:51:43.070591+00:00,001,2.28,26.17,1.626,0.783,25.0
2026-05-16 18:52:13.075617+00:00,001,2.28,25.75,1.639,0.783,25.0
2026-05-16 18:52:43.095191+00:00,001,2.16,21.91,1.63,0.781,25.0
2026-05-16 18:53:13.105673+00:00,001,2.2,23.19,1.576,0.78,25.0
2026-05-16 18:53:43.369678+00:00,001,2.28,26.39,1.57,0.783,25.0
2026-05-16 18:54:13.163195+00:00,001,2.16,21.91,1.623,0.782,25.0
2026-05-16 18:54:43.177573+00:00,001,2.33,27.88,1.645,0.783,25.0
2026-05-16 18:55:13.403724+00:00,001,2.23,24.04,1.563,0.78,25.0
2026-05-16 18:55:43.161745+00:00,001,2.28,25.96,1.609,0.784,25.0
2026-05-16 18:56:13.535430+00:00,001,2.16,22.13,1.627,0.781,25.0
2026-05-16 18:56:43.342457+00:00,001,2.2,25.96,1.64,0.78,25.0
2026-05-16 18:57:13.453184+00:00,001,2.26,25.75,1.636,0.783,25.0
2026-05-16 18:57:43.249213+00:00,001,2.22,24.04,1.656,0.784,25.0
2026-05-16 18:58:13.211722+00:00,001,2.28,25.96,1.631,0.781,25.0
2026-05-16 18:58:43.250605+00:00,001,2.16,22.13,1.623,0.782,25.0
2026-05-16 18:59:13.225738+00:00,001,2.28,26.17,1.615,0.783,25.0
2026-05-16 18:59:43.234566+00:00,001,2.27,25.96,1.619,0.784,25.0
